 W Density=19.3
 Energy(eV), Delta, Beta
  5533.68018  0.000100382087  1.47143965E-05
  5541.33838  0.00010010253  1.46427583E-05
  5549.0083  9.98237156E-05  1.45714685E-05
  5556.68799  9.95457231E-05  1.45005051E-05
  5564.37891  9.92684654E-05  1.44299047E-05
  5572.08057  9.8991979E-05  1.4359648E-05
  5579.79248  9.87160893E-05  1.42896952E-05
  5587.51465  9.84407816E-05  1.4220017E-05
  5595.24805  9.8166216E-05  1.41506926E-05
  5602.99219  9.78924145E-05  1.40817083E-05
  5610.74707  9.76193769E-05  1.40130405E-05
  5618.5127  9.73471106E-05  1.39447302E-05
  5626.28906  9.70755864E-05  1.387675E-05
  5634.07617  9.68048262E-05  1.38091018E-05
  5641.87354  9.65348372E-05  1.37417674E-05
  5649.68262  9.62655467E-05  1.36747749E-05
  5657.50146  9.59966783E-05  1.36081289E-05
  5665.33203  9.57285374E-05  1.35417986E-05
  5673.17334  9.5461146E-05  1.34757738E-05
  5681.0249  9.51945331E-05  1.34100956E-05
  5688.8877  9.49286332E-05  1.33447329E-05
  5696.76123  9.466349E-05  1.32796931E-05
  5704.64648  9.43990599E-05  1.32149435E-05
  5712.5415  9.41354083E-05  1.3150534E-05
  5720.44824  9.38724625E-05  1.30864373E-05
  5728.36572  9.3609975E-05  1.30225962E-05
  5736.29395  9.3348157E-05  1.29590762E-05
  5744.23291  9.30870738E-05  1.28958645E-05
  5752.18311  9.28267254E-05  1.2832963E-05
  5760.14453  9.25670975E-05  1.27703479E-05
  5768.11719  9.23081825E-05  1.27080566E-05
  5776.10059  9.20499951E-05  1.26460709E-05
  5784.09473  9.17925499E-05  1.25843681E-05
  5792.1001  9.15358178E-05  1.25229853E-05
  5800.11621  9.12796677E-05  1.24618855E-05
  5808.14404  9.10240124E-05  1.24010548E-05
  5816.18262  9.07690919E-05  1.23405052E-05
  5824.23291  9.05148627E-05  1.22802667E-05
  5832.29346  9.02613829E-05  1.22203264E-05
  5840.36572  9.0008587E-05  1.21606763E-05
  5848.44922  8.97564896E-05  1.21012981E-05
  5856.54346  8.95051198E-05  1.20422301E-05
  5864.64941  8.9254434E-05  1.19834485E-05
  5872.76611  8.90044685E-05  1.19249562E-05
  5880.89453  8.87548449E-05  1.18667203E-05
  5889.03369  8.85059271E-05  1.18087883E-05
  5897.18457  8.82577006E-05  1.17511372E-05
  5905.34668  8.80101579E-05  1.16937499E-05
  5913.51953  8.77633356E-05  1.16366627E-05
  5921.70459  8.75171827E-05  1.15798493E-05
  5929.8999  8.72717574E-05  1.15233215E-05
  5938.10742  8.70269796E-05  1.14670438E-05
  5946.32617  8.67829003E-05  1.14110626E-05
  5954.55566  8.65393449E-05  1.13553333E-05
  5962.79785  8.62962988E-05  1.12998314E-05
  5971.05029  8.60539731E-05  1.12446223E-05
  5979.31445  8.58123094E-05  1.11896798E-05
  5987.59033  8.55713297E-05  1.11350091E-05
  5995.87695  8.53310339E-05  1.10805904E-05
  6004.17578  8.50914003E-05  1.10264491E-05
  6012.48584  8.48524505E-05  1.09725761E-05
  6020.80762  8.46141556E-05  1.09189659E-05
  6029.14062  8.43764501E-05  1.08655977E-05
  6037.48486  8.41392102E-05  1.08125096E-05
  6045.84131  8.39026106E-05  1.07596798E-05
  6054.20898  8.36666877E-05  1.07070928E-05
  6062.58789  8.34314415E-05  1.06547814E-05
  6070.979  8.31968355E-05  1.0602721E-05
  6079.38184  8.29628916E-05  1.05509162E-05
  6087.79541  8.27296244E-05  1.04993533E-05
  6096.22168  8.24969902E-05  1.04480514E-05
  6104.65869  8.22650327E-05  1.03970051E-05
  6113.10791  8.20334462E-05  1.03461534E-05
  6121.56885  8.18024782E-05  1.02955264E-05
  6130.0415  8.15721505E-05  1.02451622E-05
  6138.52539  8.13424995E-05  1.01950454E-05
  6147.02148  8.11134669E-05  1.01451724E-05
  6155.52881  8.08851037E-05  1.00955303E-05
  6164.04932  8.06573444E-05  1.00461421E-05
  6172.58008  8.04302617E-05  9.99699932E-06
  6181.12354  8.02037903E-05  9.94808124E-06
  6189.67822  7.99778572E-05  9.89941691E-06
  6198.24512  7.97523826E-05  9.85099268E-06
  6206.82373  7.95275482E-05  9.80280311E-06
